	English	Japanese	English Sentence	Japanese Example	listening score	speaking score
2539	meaning, significance	いぎ	This project has enormous significance.	この じぎょう に は おおき な <b>いぎ</b> が あります	0	0
2540	lose (in death)@lose, get rid of	なくす	I lost my friend last year.@I lost my key today.	さくねん ゆうじん を <b>なくしました</b>@きょう かぎ を <b>なくしました</b>	0	0
2541	smell, odor@smell, odor	におい	It smells good.@There's an unpleasant smell here.	いい <b>におい</b> が する@ここ は いや な <b>におい</b> が する 。	0	0
2542	nastiness, ill-natured person	いじわる	He sometimes raises nasty questions.	かれ は ときどき <b>いじわる</b> な しつもん を する 。	0	0
2543	securement	かくほ	Securing excellent talent is important.	すぐれた じんざい の <b>かくほ</b> は じゅうよう です	0	0
2544	slide	スライド	This cover slides aside.	この ふた は <b>すらいど</b> します	0	0
2545	decision, confirmation	かくてい	The game's team members have been decided.	しあい の だいひょう めんばー が <b>かくてい</b> した の	0	0
2546	certain, secure	かくじつ	It is certain that she will become the president in the future.	かのじょ が しょうらい だいとうりょう に なる こと は <b>かくじつ</b> です	0	0
2547	probability, rate@establishment	かくりつ	The chance that the weather forecast is right has increased.@Social security has been established in Northern Europe.	てんき よほう は あたる <b>かくりつ</b> が たかく なりました ね@ほくおう で は しゃかい ほしょう が <b>かくりつ</b> されて います	0	0
2548	bind, file@close	とじる	Put the documents in this file.@Please close your textbooks.	しょるい は この ふぁいる に <b>とじて</b> ください@きょうかしょ を <b>とじて</b> ください	0	0
2549	firm belief, conviction	かくしん	I am convinced of his success.	わたし は かれ の せいこう を <b>かくしん</b> して います	0	0
2550	particle, postposition@woman, girl	じょし	The sentence meaning changes when the particle is changed.@There are 18 girls in this class.	<b>じょし</b> を かえる と ぶん の いみ が かわります@この くらす の <b>じょし</b> は じゅうはちにん です	0	0
2551	hit, success@vicinity, around	あたり	His prediction was spot on.@We looked around the area.	かれ の よそう は おお<b>あたり</b> でした@<b>あたり</b> を みまわした の	0	0
2552	rash, light-headed	けいそつ	Take care not to make flippant remarks.	<b>けいそつ</b> な はつげん は しない よう き を つけなさい	0	0
2553	say	おっしゃる	It is as you say.	あなた の <b>おっしゃる</b> とおり です	0	0
2554	crisis, emergency	きき	There's an outcry over a world-wide environmental crisis.	ちきゅう かんきょう の <b>きき</b> が さけばれて いる の よ	0	0
2555	tableware, dinner set	しょっき	I replaced all the tableware.	<b>しょっき</b> を ぜんぶ あたらしく しました	0	0
2556	how, what@copper	どう	What do you think?@The ten yen coin is made of copper.	あなた は <b>どう</b> おもいます か@10 えんだま は <b>どう</b> で できて います	0	0
2557	skillful, clever	きよう	He is very good with his hands.	かれ は かなり <b>きよう</b> な ひと です	0	0
2558	classical music, the classics	クラシック	She likes classical music.	かのじょ は <b>くらしっく</b> おんがく が すき です	0	0
2559	receiver	じゅわき	Could you pick up the receiver?	<b>じゅわき</b> を とって もらえます か	0	0
2560	vessel, dish	うつわ	This dish is really top quality.	この <b>うつわ</b> は じょうとう ね	0	0
2561	fire extinguisher	しょうかき	The fire extinguisher was replaced.	<b>しょうかき</b> を こうかん しました	0	0
2562	collection of data, gathering of news	しゅざい	The restaurant is so famous that the TV news ran a story on it.	てれび も <b>しゅざい</b> に きた ほど ゆうめい な れすとらん です	0	0
2563	timber, wood	ざいもく	Timber is being unloaded from the ship.	ふね から <b>ざいもく</b> が おろされて います ね	0	0
2564	condition, health	ぐあい	I feel unwell today.	きょう は からだ の <b>ぐあい</b> が わるい です	0	0
2565	public@efficiency	こうりつ	There is a public library opposite the station.@How should we increase efficiency at work?	えきまえ に <b>こうりつ</b> の としょかん が ある よ@さぎょう の <b>こうりつ</b> を あげる に は どう したら いい です か	0	0
2566	quickly, suddenly	さっと	I quickly wiped up the spilt milk.	こぼれた ぎゅうにゅう を <b>さっと</b> ふきとった の	0	0
2567	utensil, implement	きぐ	This is equipment for the sports facility.	これ は すぽーつ しせつよう の <b>きぐ</b> です	0	0
2568	rain gear, rainwear	あまぐ	Don't forget to prepare your rainwear.	<b>あまぐ</b> の ようい を わすれない よう に	0	0
2569	base, military base	きち	This used to be a military base.	ここ は むかし ぐんじ <b>きち</b> でした	0	0
2570	merchant, trader@approval, recognition	しょうにん	Businessmen are good with figures.@This is a qualification approved by the government	<b>しょうにん</b> は すうじ に つよい ね@これ は せいふ の <b>しょうにん</b> を うけた しかく です	0	0
2571	level, standard	すいじゅん	The standard of entries this year was high.	ことし の おうぼ さくひん は <b>すいじゅん</b> が たかかった ね	0	0
2572	local express	じゅんきゅう	I went to Tokyo Station by the local express.	しんじゅくえき まで <b>じゅんきゅう</b> で いった の よ	0	0
2573	establishment, foundation	せつりつ	Our company was established ten years ago.	とうしゃ は じゅうねんまえ に <b>せつりつ</b> された の よ	0	0
2574	cancellation	キャンセル	I canceled the reservation.	よやく を <b>きゃんせる</b> した よ	0	0
2575	equipment, facilities	せつび	This laboratory has the latest equipment.	この けんきゅうじょ に は さいしん の <b>せつび</b> が そろって います	0	0
2576	see, look at@examine	みる	I like looking at pictures.@I had the doctor examine me today.	わたし は え を <b>みる</b> の が すき です@きょう 、 いしゃ に <b>みてもらいました</b>。	0	0
2577	theory, opinion	せつ	I think that his theory is correct.	わたし は かれ の <b>せつ</b> が ただしい と おもう	0	0
2578	explanation, commentary	かいせつ	I read the comment column in the newspaper.	しんぶん の <b>かいせつ</b> らん を よみました	0	0
2579	how much@no matter how much	いくら	How much are these shoes?@No matter how many times I called, he didn't respond.	この くつ は <b>いくら</b> です か@<b>いくら</b> よんで も かれ は へんじ を しなかった わ	0	0
2580	editorial	しゃせつ	The editorial in this newspaper is interesting.	この しんぶん の <b>しゃせつ</b> は おもしろい ね	0	0
2581	theory	がくせつ	It is the latest theory.	それ は さいしん の <b>がくせつ</b> ね	0	0
2582	formal, official	こうしき	The future policy was officially announced.	こんご の ほうしん が <b>こうしき</b> に はっぴょう されました	0	0
2583	public society, community	こうきょう	Public transport is available to everyone.	<b>こうきょう</b> の のりもの は だれ で も りよう できます	0	0
2584	sheet	シーツ	The maid changed the sheets.	めいど が <b>しーつ</b> を こうかん して くれた ね	0	0
2585	impartiality, fairness	こうへい	If we win the prize, let's share it equally.	しょうきん を もらったら <b>こうへい</b> に わけましょう	0	0
2586	educational institution, school	がくえん	She goes to a school in the suburbs.	かのじょ は こうがい の <b>がくえん</b> に かよって いる ね	0	0
2587	national holiday, festival day	さいじつ	At our company, we get national holidays off.	うち の かいしゃ は <b>さいじつ</b> は やすみ です	0	0
2588	international	こくさいてき	She is an internationally famous singer.	かのじょ は <b>こくさいてき</b> に ゆうめい な かしゅ です	0	0
2589	internationalization	こくさいか	This university has internationalized.	この だいがく も <b>こくさいか</b> して きた な	0	0
2590	association, friendship	こうさい	He was going out with a model.	かれ は もでる と <b>こうさい</b> して いた ん だ	0	0
2591	occasion, time	さい	It's a good opportunity to speak frankly.	この <b>さい</b> はっきり いって おきます	0	0
2592	aviation	こうくう	Airline safety was discussed at the conference.	かいぎ で <b>こうくう</b> の あんぜん に ついて はなしあった の	0	0
2593	aircraft, airplane	こうくうき	There were a lot of aircraft accidents last year.	きょねん は <b>こうくうき</b> の じこ が おおかった	0	0
2594	airline ticket	こうくうけん	I booked an airline ticket by phone.	でんわ で <b>こうくうけん</b> を よやく しました	0	0
